id,location_id,terminal_id,vehicle_type_id,price
193,193,1,1,450
194,194,2,1,775
195,195,4,1,650
196,196,2,1,550
197,197,3,1,1000
198,198,2,1,725
199,199,3,1,725
200,200,1,1,460
201,201,4,1,1025
202,202,4,1,625
203,203,4,1,700
204,204,4,1,600
205,205,4,1,600
206,206,4,1,600
207,207,4,1,600
208,208,3,1,575
209,209,3,1,575
210,210,2,1,450
211,211,2,1,600
212,212,4,1,700
213,213,4,1,675
214,214,2,1,650
215,215,4,1,850
216,216,2,1,550
217,217,2,1,800
218,218,2,1,775
219,219,2,1,800
220,220,2,1,475
221,221,4,1,525
222,222,4,1,600
223,223,4,1,725
224,224,2,1,875
225,225,2,1,875
226,226,2,1,825
227,227,2,1,750
228,228,2,1,750
229,229,4,1,600
230,230,2,1,725
231,231,4,1,650
232,232,3,1,950
233,233,1,1,490
234,234,4,1,500
235,235,2,1,750
236,236,4,1,575
237,237,3,1,550
238,238,2,1,675
239,239,3,1,575
240,240,3,1,575
241,241,2,1,925
242,242,2,1,775
243,243,3,1,975
244,244,3,1,975
245,245,2,1,925
246,246,2,1,825
247,247,4,1,650
248,248,2,1,600
249,249,1,1,650
250,250,3,1,750
251,251,2,1,475
252,252,2,1,825
253,253,2,1,1400
254,254,3,1,775
255,255,2,1,850
256,256,1,1,490
257,257,4,1,650
258,258,2,1,900
259,259,3,1,575
260,260,2,1,625
261,261,1,1,650
262,262,1,1,575
263,263,4,1,650
264,264,2,1,950
265,265,4,1,625
266,266,4,1,625
267,267,4,1,750
268,268,4,1,625
269,269,2,1,575
270,270,2,1,575
271,271,1,1,525
272,272,4,1,625
273,273,3,1,500
274,274,3,1,500
275,275,3,1,500
276,276,4,1,675
277,277,4,1,900
278,278,4,1,900
279,279,4,1,675
280,280,4,1,500
281,281,4,1,925
282,282,4,1,675
283,283,4,1,675
284,284,1,1,625
285,285,2,1,600
286,286,4,1,525
287,287,2,1,925
288,288,4,1,775
289,289,2,1,550
290,290,3,1,575
291,291,1,1,440
292,292,1,1,440
293,293,4,1,825
294,294,4,1,825
295,295,3,1,775
296,296,4,1,550
297,297,2,1,675
298,298,3,1,575
299,299,4,1,800
300,300,2,1,600
301,301,4,1,650
302,302,4,1,650
303,303,2,1,950
304,304,2,1,975
305,305,2,1,975
306,306,2,1,575
307,307,4,1,725
308,308,2,1,575
309,309,4,1,700
310,310,4,1,700
311,311,2,1,550
312,312,1,1,480
313,313,1,1,1200
314,314,2,1,625
315,315,3,1,725
316,316,2,1,950
317,317,4,1,600
318,318,4,1,600
319,319,4,1,875
320,320,4,1,675
321,321,3,1,725
322,322,2,1,530
323,323,1,1,600
324,324,2,1,750
325,325,2,1,750
326,326,2,1,525
327,327,2,1,925
328,328,2,1,725
329,329,2,1,625
330,330,1,1,775
331,331,4,1,750
332,332,4,1,600
333,333,1,1,725
334,334,2,1,675
335,335,2,1,725
336,336,2,1,700
337,337,2,1,700
338,338,1,1,650
339,339,1,1,750
340,340,3,1,575
341,341,3,1,575
